"";"GeneID_final";"GeneSymbol_final";"Protein.name";"Fasta.headers";"Controle_neg_0h_1";"Controle_neg_0h_2";"Controle_neg_0h_3";"Controle_neg_24h_1";"Controle_neg_24h_2";"Lampada_2_48h_3";"Controle_neg_48h_1";"Controle_neg_48h_2";"Controle_neg_48h_3";"Lampada_1_0h_1";"Lampada_1_0h_2";"Lampada_1_0h_3";"Lampada_1_24h_1";"Lampada_1_24h_2";"Lampada_1_24h_3";"Lampada_1_48h_1";"Lampada_1_48h_2";"Lampada_1_48h_3";"Lampada_2_0h_1";"Lampada_2_0h_2";"Lampada_2_0h_3";"Lampada_2_24h_1";"Lampada_2_24h_2";"Lampada_2_24h_3";"Lampada_2_48h_1";"Lampada_2_48h_2";"Controle_neg_24h_3";"Keep"
"SERPINB6";5269;"SERPINB6";"Isoform of P35237, Serpin B6";"tr|A0A024QZX5|A0A024QZX5_HUMAN Isoform of P35237, Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1";21,1050868994002;20,1796699957032;18,89557172557;20,2067024519292;20,6931678882743;19,5747049657637;20,7146587303507;19,6946428923682;19,5280363621247;20,8171261395987;21,4891396827122;20,052700713201;20,5582464447039;21,9948588734515;20,3384889424421;19,5470094936238;20,9057059728414;20,4806142327245;20,5989794450084;20,7286577077478;20,5056511654937;21,165765916802;21,1308805467379;19,8187326059707;20,7322259530283;20,5321524956809;19,6701106470947;TRUE
"CEACAM5";1048;"CEACAM5";"Isoform of P06731, Carcinoembryonic antigen-related cell adhesion molecule 5";"tr|A0A087WYX0|A0A087WYX0_HUMAN Isoform of P06731, Carcinoembryonic antigen-related cell adhesion molecule 5 OS=Homo sapiens OX=9606 GN=CEACAM5 PE=1 SV=1";19,7842720254424;20,1980091326823;19,9565981478172;20,5033558063528;22,0913732415384;19,3075873693395;21,2626530440839;22,4064839355464;20,5978071308687;20,7656495298425;20,5576933642147;18,2458666649653;19,9809927197671;20,7351622201835;21,1091572647116;20,5664029728761;22,5981184721873;19,104304610632;19,928086298354;20,4527772444851;19,7269158601801;19,4343512017848;19,4029465601327;19,6432815768721;22,273280148437;20,1797601787267;18,6677266904997;TRUE
"HDLBP";3069;"HDLBP";"Isoform of Q00341, High density lipoprotein binding protein (Vigilin), isoform CRA_a";"tr|A0A024R4E5|A0A024R4E5_HUMAN Isoform of Q00341, High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1";21,314382628893;21,37048879235;21,4149260037011;22,1508427507154;22,1679214060976;20,8694172707702;21,7216325589646;21,9936249624184;21,9651544942867;22,8646390759629;21,078613468492;20,7501353798573;22,1846856545354;22,5399819941868;21,7159913892714;21,1526643263674;21,4508312796238;20,2729578402148;21,5404757204629;20,3928706646045;20,7919027822138;21,1370753497131;20,7949063979328;20,1357067387044;22,1253315196619;21,2872792044923;21,2928167663376;TRUE
"PSMA2";5683;"PSMA2";"Isoform of P25787, Proteasome subunit alpha type";"tr|A0A024RA52|A0A024RA52_HUMAN Isoform of P25787, Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1";19,7169613981176;21,9804780746285;20,7976236374176;20,7803787155564;20,5418168538704;20,939863734424;20,9462319025258;20,7731410932627;20,6931077933668;20,2651230102291;20,686295182613;20,2197621383753;20,5716919312924;22,7599790547661;20,7574561877495;19,8388895170754;20,7200104917986;21,7114100941604;20,2059099540319;20,8035177097012;20,4201910454171;20,6739602876227;20,9320917121787;21,3635468760517;21,6196627783071;20,7554881942043;21,3613673715388;TRUE
"DIABLO";56616;"DIABLO";"Isoform of Q9NR28, Diablo homolog, mitochondrial";"tr|A0A024RBT2|A0A024RBT2_HUMAN Isoform of Q9NR28, Diablo homolog, mitochondrial OS=Homo sapiens OX=9606 GN=DIABLO PE=1 SV=1";19,1587769340115;19,9074955938802;18,9628982951495;18,5524071099329;19,4543160743979;21,7313498453351;19,7511136824764;19,5146777394066;19,4810117505797;18,9283664130039;18,6663488754527;18,3169839767429;19,3929758485721;21,0101031198312;20,12599998503;19,2790673877713;19,4753748798772;19,5940387875241;19,1650948911538;19,4101980148632;19,4798079922198;12,902047289434;8,71676825685385;9,4891133593561;22,4652243961525;21,7709469045349;21,4564384709201;TRUE
"BAG6";7917;"BAG6";"Isoform of P46379, BCL2-associated athanogene 6";"tr|A0A0G2JL47|A0A0G2JL47_HUMAN Isoform of P46379, BCL2-associated athanogene 6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1";19,4026561511094;19,8550191170028;19,6198438193135;18,8753053506761;18,9323383171906;19,1500200345223;19,6562703600598;19,3880644283643;18,3376812779091;18,2620704589516;19,9509910036437;19,1155245879067;19,1184060812772;20,1438662150974;19,2586128753622;18,6402681824679;19,3458260073029;19,8685694475176;19,1575334040262;19,6698209285228;19,4102969502591;19,4014229888131;20,3218834499542;19,2854798607895;19,8985108137705;19,4544061787972;19,4875296997434;TRUE
"HM13";81502;"HM13";"Isoform of Q8TCT9, Minor histocompatibility antigen H13 (Fragment)";"tr|A0A075B6F6|A0A075B6F6_HUMAN Isoform of Q8TCT9, Minor histocompatibility antigen H13 (Fragment) OS=Homo sapiens OX=9606 GN=HM13 PE=1 SV=1";21,7780284010186;21,0323287002557;20,9935978640797;22,2201034901975;20,0504494040604;21,5376538552894;21,7033325021937;20,8799660063078;20,6335440074267;20,9120529208399;21,7081135378961;21,3356413400401;21,1161525034799;21,0867238023686;21,2284188355881;22,078497123824;21,6122348886457;22,1776127686061;20,8655730488728;21,9755658445458;21,6344377892608;22,3635272165866;22,6436127289862;22,536182041039;20,5709918671724;21,1258015681559;22,3682461926111;TRUE
"TJAP1";93643;"TJAP1";"Isoform of Q5JTD0, Tight junction-associated protein 1 (Fragment)";"tr|A0A075B6G8|A0A075B6G8_HUMAN Isoform of Q5JTD0, Tight junction-associated protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=TJAP1 PE=1 SV=1";18,0330275226719;17,7714183585566;17,8861406471415;18,5880339894633;18,5731100572963;9,34273990295433;8,61414302190101;10,6470046138585;9,10765539136276;18,8664545279718;18,8098070630451;18,1105702322492;18,2526098203998;18,0353105031872;18,1258241139919;17,9981319754455;18,0667150964046;17,9326021848324;18,4702406493425;18,4969609036568;18,6269275878211;17,7245982098257;17,9607344235942;17,8976526649373;14,6878375479709;9,36794439531654;17,8711165671977;TRUE
"SRGAP2B";647135;"SRGAP2B";"Isoform of O75044, SLIT-ROBO Rho GTPase-activating protein 2 (Fragment)";"tr|A0A075B743|A0A075B743_HUMAN Isoform of O75044, SLIT-ROBO Rho GTPase-activating protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=SRGAP2 PE=4 SV=1";15,3657799349093;12,4359940706473;15,666200141614;15,2942008064826;14,5191984807726;9,34273990295433;14,9964473170737;14,5047533681233;14,9639064830083;13,2422470698534;16,6900769873961;14,9296304620494;15,5810931436218;11,4580129873762;15,4940290785839;10,6562663406953;14,2871346558866;11,6011937757386;15,0806153534387;15,0930804513769;14,776150276181;12,902047289434;8,71676825685385;9,4891133593561;14,6878375479709;14,381610299185;9,32416946729231;TRUE
"TAF15";8148;"TAF15";"Isoform of Q92804, TATA-binding protein-associated factor 2N";"tr|A0A075B7D9|A0A075B7D9_HUMAN Isoform of Q92804, TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1";20,3651367867877;21,7232336812295;20,8282028583583;21,0850178551809;21,4802074316137;20,4690314205135;20,8455279782026;21,776176438167;21,0451301494338;22,5487734682765;19,9832542528892;20,7916441057677;21,033983061351;20,1251186859644;21,1339248906433;20,5891827541601;20,9202706912655;19,7241510417359;20,3337760173597;19,9317779707473;20,522333011299;19,8815674329935;19,0791724670454;19,9595774341841;23,3011751548015;20,3660494803127;19,9157957410911;TRUE
