"";"GeneID_final";"GeneSymbol_final";"Protein.name";"Fasta.headers";"Controle_neg_0h_1";"Controle_neg_0h_2";"Controle_neg_0h_3";"Controle_neg_24h_1";"Controle_neg_24h_2";"Lampada_2_48h_3";"Controle_neg_48h_1";"Controle_neg_48h_2";"Controle_neg_48h_3";"Lampada_1_0h_1";"Lampada_1_0h_2";"Lampada_1_0h_3";"Lampada_1_24h_1";"Lampada_1_24h_2";"Lampada_1_24h_3";"Lampada_1_48h_1";"Lampada_1_48h_2";"Lampada_1_48h_3";"Lampada_2_0h_1";"Lampada_2_0h_2";"Lampada_2_0h_3";"Lampada_2_24h_1";"Lampada_2_24h_2";"Lampada_2_24h_3";"Lampada_2_48h_1";"Lampada_2_48h_2";"Controle_neg_24h_3"
"1";"5269";"SERPINB6";"Isoform of P35237, Serpin B6";"tr|A0A024QZX5|A0A024QZX5_HUMAN Isoform of P35237, Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1";3731700;1034200;853320;1340900;2203000;576650;1062000;852770;857750;1171800;7579200;1522400;2120600;1720200;1574700;760170;1412100;1203700;2357400;1664900;1310200;2456000;1856300;1045300;548780;3766200;597950
"2";"1048";"CEACAM5";"Isoform of P06731, Carcinoembryonic antigen-related cell adhesion molecule 5";"tr|A0A087WYX0|A0A087WYX0_HUMAN Isoform of P06731, Carcinoembryonic antigen-related cell adhesion molecule 5 OS=Homo sapiens OX=9606 GN=CEACAM5 PE=1 SV=1";1447500;0;1837200;1649500;5910200;481170;1533000;5590800;1813000;1132000;3814400;422140;1408700;755880;2704100;1540300;4443500;469790;1461800;1375900;767400;737040;570220;924600;1465600;2904300;303590
"3";"3069";"HDLBP";"Isoform of Q00341, High density lipoprotein binding protein (Vigilin), isoform CRA_a";"tr|A0A024R4E5|A0A024R4E5_HUMAN Isoform of Q00341, High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1";4335900;2341700;5271200;5211100;6238300;1386600;2084800;4199000;4719000;4632000;5600100;2497800;6713800;2455400;4139300;2312000;2042800;1044400;4609900;1320100;1594900;2407500;0;1304700;1333700;6572800;1791500
"4";"5683";"PSMA2";"Isoform of P25787, Proteasome subunit alpha type";"tr|A0A024RA52|A0A024RA52_HUMAN Isoform of P25787, Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1";1379300;3559100;3374000;2001500;1979800;1454400;1240200;1801400;1938000;808960;4193700;1714100;2140900;2834600;2112800;930520;1245200;2792100;1781700;1753300;1235500;1744800;1620600;3079100;966210;4440500;1876500
"5";"56616";"DIABLO";"Isoform of Q9NR28, Diablo homolog, mitochondrial";"tr|A0A024RBT2|A0A024RBT2_HUMAN Isoform of Q9NR28, Diablo homolog, mitochondrial OS=Homo sapiens OX=9606 GN=DIABLO PE=1 SV=1";924370;857990;895870;422430;918910;0;0;0;829990;0;946070;444000;928680;0;1356600;631390;0;0;848890;669380;0;0;0;0;0;9389800;2001100
"6";"7917";"BAG6";"Isoform of P46379, BCL2-associated athanogene 6";"tr|A0A0G2JL47|A0A0G2JL47_HUMAN Isoform of P46379, BCL2-associated athanogene 6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1";1101000;827640;1440300;529260;635730;432440;522670;689460;372980;210850;2438900;782680;764490;513830;738170;405610;490900;792150;844330;800930;617400;720360;1068200;719920;322550;1701100;528500
"7";"81502";"HM13";"Isoform of Q8TCT9, Minor histocompatibility antigen H13 (Fragment)";"tr|A0A075B6F6|A0A075B6F6_HUMAN Isoform of Q8TCT9, Minor histocompatibility antigen H13 (Fragment) OS=Homo sapiens OX=9606 GN=HM13 PE=1 SV=1";6045800;1856700;3887400;5469300;1399600;2180800;2059400;1939900;1858900;1248900;8906900;3785100;3148800;950870;2940100;4390700;2278800;3840100;2850400;3941200;2845000;5647400;5216900;6991500;495180;5834900;3707200
"8";"93643";"TJAP1";"Isoform of Q5JTD0, Tight junction-associated protein 1 (Fragment)";"tr|A0A075B6G8|A0A075B6G8_HUMAN Isoform of Q5JTD0, Tight junction-associated protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=TJAP1 PE=1 SV=1";0;198070;0;433070;0;0;0;0;0;0;1051600;383480;413940;129730;0;0;0;210880;517480;0;0;224540;0;272760;0;0;177150
"9";"647135";"SRGAP2B";"Isoform of O75044, SLIT-ROBO Rho GTPase-activating protein 2 (Fragment)";"tr|A0A075B743|A0A075B743_HUMAN Isoform of O75044, SLIT-ROBO Rho GTPase-activating protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=SRGAP2 PE=4 SV=1";60918;0;82689;43426;28218;0;23048;23332;35205;0;220410;40088;62348;0;52611;0;15954;0;46269;33881;25591;0;0;0;0;40369;0
"10";"8148";"TAF15";"Isoform of Q92804, TATA-binding protein-associated factor 2N";"tr|A0A075B7D9|A0A075B7D9_HUMAN Isoform of Q92804, TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1";2195300;2983100;3449400;2475900;3839400;1057100;1159300;3611300;2479200;3747000;2497600;2572500;2970700;507580;2751500;1564800;1426100;717680;1951600;959880;1325300;1005800;457080;1153500;2822100;3332000;706020
