"";"GeneID_final";"GeneSymbol_final";"Protein.name";"Fasta.headers";"Controle_neg_0h_1";"Controle_neg_0h_2";"Controle_neg_0h_3";"Controle_neg_24h_1";"Controle_neg_24h_2";"Lampada_2_48h_3";"Controle_neg_48h_1";"Controle_neg_48h_2";"Controle_neg_48h_3";"Lampada_1_0h_1";"Lampada_1_0h_2";"Lampada_1_0h_3";"Lampada_1_24h_1";"Lampada_1_24h_2";"Lampada_1_24h_3";"Lampada_1_48h_1";"Lampada_1_48h_2";"Lampada_1_48h_3";"Lampada_2_0h_1";"Lampada_2_0h_2";"Lampada_2_0h_3";"Lampada_2_24h_1";"Lampada_2_24h_2";"Lampada_2_24h_3";"Lampada_2_48h_1";"Lampada_2_48h_2";"Controle_neg_24h_3";"Keep"
"SERPINB6";5269;"SERPINB6";"Isoform of P35237, Serpin B6";"tr|A0A024QZX5|A0A024QZX5_HUMAN Isoform of P35237, Serpin B6 OS=Homo sapiens OX=9606 GN=SERPINB6 PE=1 SV=1";21,8314015785822;19,9800837792581;19,7027273365422;20,3547702190322;21,071038064363;19,137336409474;20,0183523354662;19,701797160174;19,7101976952197;20,1602949243827;22,8536141463561;20,5379160360487;21,0160410862611;20,7141448797364;20,5866455727067;19,5359625650073;20,4294108281851;20,1990444411207;21,1687651429546;20,6670040956677;20,3213556230598;21,2278791300323;20,8239984551867;19,9954856230165;19,0658683786396;21,844678184079;19,1896653271413;TRUE
"CEACAM5";1048;"CEACAM5";"Isoform of P06731, Carcinoembryonic antigen-related cell adhesion molecule 5";"tr|A0A087WYX0|A0A087WYX0_HUMAN Isoform of P06731, Carcinoembryonic antigen-related cell adhesion molecule 5 OS=Homo sapiens OX=9606 GN=CEACAM5 PE=1 SV=1";20,4651319175387;19,9982415337387;20,8090772579957;20,653597347227;22,4947755210681;18,8761871705659;20,5479262663209;22,4146233056043;20,7899474944062;20,110442527494;21,8630247102369;18,6873620132029;20,42593297402;19,5277976914939;21,3667170740643;20,5547799373619;22,0832650574951;18,8416564787534;20,4793145080113;20,3919441885308;19,5496192393775;19,4913833925844;19,1211591159484;19,8184698370107;20,4830599778717;21,469759053704;18,2117647448081;TRUE
"HDLBP";3069;"HDLBP";"Isoform of Q00341, High density lipoprotein binding protein (Vigilin), isoform CRA_a";"tr|A0A024R4E5|A0A024R4E5_HUMAN Isoform of Q00341, High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1";22,0479000531452;21,1591248303746;22,3297000012008;22,3131565093978;22,5727215029444;20,4031202349635;20,9914775583429;22,0016143574971;22,1700497407989;22,1432038226513;22,4170211586758;21,2522265336361;22,6786981299959;21,227526637045;21,9809553824799;21,1407099671628;20,9621165334871;19,9942429320876;22,1363040247361;20,332215789847;20,605034539379;21,1991043673929;20,4929036321278;20,31528668396;20,3470027551974;22,6480766560929;20,7727366128728;TRUE
"PSMA2";5683;"PSMA2";"Isoform of P25787, Proteasome subunit alpha type";"tr|A0A024RA52|A0A024RA52_HUMAN Isoform of P25787, Proteasome subunit alpha type OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=1";20,3955048488306;21,7630810381307;21,6860285429497;20,9326501850496;20,9169232654968;20,4719926739688;20,2421413639213;20,7806871358775;20,8861371400772;19,6257088430645;21,9997922299975;20,7090198475585;21,0297859793057;21,4347137352743;21,0107247759418;19,8276776334163;20,2479460512439;21,4129191824049;20,7648230077844;20,7416414401975;20,2366635799909;20,7346302444155;20,6280966150048;21,5540772919071;19,8819772587694;22,0822907024102;20,8396128595491;TRUE
"DIABLO";56616;"DIABLO";"Isoform of Q9NR28, Diablo homolog, mitochondrial";"tr|A0A024RBT2|A0A024RBT2_HUMAN Isoform of Q9NR28, Diablo homolog, mitochondrial OS=Homo sapiens OX=9606 GN=DIABLO PE=1 SV=1";19,8181109130031;19,7106013074361;19,7729298719402;18,6883527696311;19,8095640422493;21,2457941690322;19,0871960702085;19,5217666331456;19,6627344289237;18,3311301840579;19,8515874073849;18,7602001510122;19,8248220398901;19,7867293655471;20,3715639672474;19,2681718857614;19,0316669989906;19,3246577350132;19,6952180944859;19,352465920693;19,3047322654623;12,9399097328506;8,5901753272164;9,57374184941658;20,6595766611875;23,1626629985471;20,932361833469;TRUE
"BAG6";7917;"BAG6";"Isoform of P46379, BCL2-associated athanogene 6";"tr|A0A0G2JL47|A0A0G2JL47_HUMAN Isoform of P46379, BCL2-associated athanogene 6 OS=Homo sapiens OX=9606 GN=BAG6 PE=1 SV=1";20,0703830382265;19,6586438470479;20,4579379111545;19,0136170976477;19,2780546450294;18,7221404506375;18,995540828888;19,3951073286045;18,5087387465409;17,6858574960539;21,2177991751574;19,5780630542699;19,5441381048067;18,9709315989841;19,493593580578;18,629733695744;18,9050696411408;19,5954141165673;19,6874474500439;19,6113166333431;19,2358459573898;19,4583585482354;20,0267503586669;19,4574770726366;18,2991632912852;20,6980365223558;19,0115439460448;TRUE
"HM13";81502;"HM13";"Isoform of Q8TCT9, Minor histocompatibility antigen H13 (Fragment)";"tr|A0A075B6F6|A0A075B6F6_HUMAN Isoform of Q8TCT9, Minor histocompatibility antigen H13 (Fragment) OS=Homo sapiens OX=9606 GN=HM13 PE=1 SV=1";22,5275018235494;20,8243092971035;21,8903741329636;22,3829247677621;20,4165831390146;21,0564260365799;20,9737926430872;20,8875508540961;20,826017731521;20,2522265336361;23,0864919659618;21,851899985149;21,586370695114;19,8588885882089;21,4874337948112;22,0660195332357;21,1198428806454;21,8727124499648;21,442732957908;21,9102035316106;21,439997221856;22,4291553889874;22,3147613486958;22,7371705829222;18,9175935206459;22,4762765001942;21,8218985186395;TRUE
"TJAP1";93643;"TJAP1";"Isoform of Q5JTD0, Tight junction-associated protein 1 (Fragment)";"tr|A0A075B6G8|A0A075B6G8_HUMAN Isoform of Q5JTD0, Tight junction-associated protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=TJAP1 PE=1 SV=1";18,6536197363994;17,595650858305;18,6501767393885;18,7242407106837;18,91226665264;9,13398985178918;8,32458561472005;10,6508722403371;9,19261337775192;18,2711717703363;20,0041546163928;18,5487918118698;18,659062140771;16,9851526151406;18,3469832888758;17,9879603899031;17,6551007413819;17,6860627498954;18,9811435796412;18,4419450667274;18,4595171653981;17,7766129468475;17,699892111154;18,0572725644264;13,5072991241228;9,96679381789529;17,434611939893;TRUE
"SRGAP2B";647135;"SRGAP2B";"Isoform of O75044, SLIT-ROBO Rho GTPase-activating protein 2 (Fragment)";"tr|A0A075B743|A0A075B743_HUMAN Isoform of O75044, SLIT-ROBO Rho GTPase-activating protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=SRGAP2 PE=4 SV=1";15,8945809570042;12,3129963702477;16,335407802042;15,4062714507863;14,7843281175791;9,13398985178918;14,4923539451599;14,5100223588138;15,1034927221317;12,824421805369;17,7498301548937;15,2908828224296;15,9280556615553;10,790837186998;15,6830768518105;10,6502439865534;13,9616305625788;11,4416992568403;15,4977582981926;15,0481888360894;14,6433489031227;12,9399097328506;8,5901753272164;9,57374184941658;13,5072991241228;15,3009602291147;9,09642526882873;TRUE
"TAF15";8148;"TAF15";"Isoform of Q92804, TATA-binding protein-associated factor 2N";"tr|A0A075B7D9|A0A075B7D9_HUMAN Isoform of Q92804, TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1";21,065986674888;21,5083809100834;21,7179140059094;21,2395216155332;21,8724494415576;20,0116804291858;20,1448225200577;21,784086842985;21,2414432293609;21,8373045469912;21,2521110117526;21,2947396464434;21,50237148942;18,9532756987197;21,3917868979914;20,577546844727;20,443643718319;19,452981191297;20,8962259577008;19,8724945321185;20,3378875399604;19,9399120278535;18,8020871681719;20,1375865733451;21,4283376794946;21,6679569700276;19,4293495269023;TRUE
